event_type,event_date,day,car
spike,2022-10-07,13,0.08145163367257377
spike,2022-10-07,14,0.09049096582970372
spike,2022-10-07,15,0.11293526749069685
spike,2022-10-07,16,0.0968889975359194
spike,2022-10-07,17,0.11152850294413186
spike,2022-10-07,18,0.11648857034381037
spike,2022-10-07,19,0.1182155939369331
spike,2022-10-07,20,0.13595754297150847
spike,2024-10-07,1,0.008093137981466983
spike,2024-10-07,2,0.0008368407307978269
spike,2024-10-07,3,-0.013982138900096896
spike,2024-10-07,4,-0.02204376650427132
spike,2024-10-07,5,-0.022827400958647145
spike,2024-10-07,6,-0.018860192854535884
spike,2024-10-07,7,-0.005026956900376835
spike,2024-10-07,8,0.04550645105571851
spike,2024-10-07,9,0.044921168038797914
spike,2024-10-07,10,0.0687038926685325
spike,2024-10-07,11,0.04819466383250813
spike,2024-10-07,12,0.04210898357579425
spike,2024-10-07,13,0.042951253058299
spike,2024-10-07,14,0.02389353135149916
spike,2024-10-07,15,0.03410931276191995
spike,2024-10-07,16,0.05356304842541386
spike,2024-10-07,17,0.029151603380621567
spike,2024-10-07,18,0.03363486130180217
spike,2024-10-07,19,0.03490567220011764
spike,2024-10-07,20,0.04195071145794949
spike,2025-06-13,1,-0.019477338340626187
spike,2025-06-13,2,0.004219784699253423
spike,2025-06-13,3,-0.026368976352500184
spike,2025-06-13,4,-0.02619154083440688
spike,2025-06-13,5,-0.023390705587427993
spike,2025-06-13,6,-0.015042212648508472
spike,2025-06-13,7,-0.006800079171953112
spike,2025-06-13,8,-0.027008487388398762
